,timestamp,close,volume,ret,rw_mean,rw_std,zscore,ema_fast,ema_slow,mom,ret_sign,ret_sign_sum,ret_lag1,ret_lag2,ret_lag3,labels,weights,t1
61,2025-10-26 12:15:32.439,25468.370160000006,0.05737,-6.47156310984288e-05,-1.4092551850007026e-05,6.47851308066977e-05,-0.7813996509726406,113754.61509436069,113754.49062891457,0.12446544611884747,1.0,-4.0,6.480356279425033e-05,-0.00024099174770442927,8.466140607598682e-05,1.0,0.8073500815186384,64.0
64,2025-10-28 14:44:54.187,26491.485360000006,0.09975,0.00890438670382401,-1.7332729989709298e-05,6.565331003855722e-05,135.891388099559,113746.83958451789,113751.64938799216,-4.809803474272485,-1.0,-5.0,-8.793169568274752e-08,0.0,-6.47156310984288e-05,1.0,0.8096183603003759,94.0
87,2025-10-28 14:44:57.256,25714.618320000023,0.0588,0.00010291886538485872,1.2549758923200743e-06,5.612422810593697e-06,18.114082452371154,114644.5923345905,114283.09519349056,361.4971410999424,0.0,1.0,0.0,0.0,0.0,1.0,0.8097243984823204,97.0
89,2025-10-28 14:44:57.256,25703.101119999992,0.21819,-2.5184145997558483e-05,6.265850365572544e-06,2.3445747525982896e-05,-1.3413944722308486,114664.86170700041,114313.61842207488,351.2432849255274,-1.0,2.0,-2.701375919809325e-06,0.00010291886538485872,0.0,-1.0,0.8097501973703128,90.0
93,2025-10-28 14:44:57.257,25710.797760000016,0.2562,5.333173920342413e-05,2.479356309078443e-06,2.7772054867406707e-05,1.831063038541905,114692.74506835114,114368.02668368438,324.71838466676127,1.0,-3.0,3.1895830659896775e-05,-7.669035788585182e-06,-4.967301215723365e-05,1.0,0.809809505388015,95.0
94,2025-10-28 14:44:57.263,25711.16584,0.07568,3.860273606737668e-05,5.14594326924965e-06,2.999303210099006e-05,1.1154855229509442,114698.81601422245,114380.76318585867,318.0528283637832,1.0,-2.0,5.333173920342413e-05,3.1895830659896775e-05,-7.669035788585182e-06,1.0,0.8098340802815929,95.0
95,2025-10-28 14:44:57.264,25714.46848000001,0.05468,6.0123189819962266e-05,7.076080072618483e-06,3.087361776852397e-05,1.7182019436077274,114704.7306795346,114393.22734369936,311.5033358352375,1.0,-1.0,3.860273606737668e-05,5.333173920342413e-05,3.1895830659896775e-05,1.0,0.809882243192945,101.0
97,2025-10-28 14:44:57.780,25710.170080000025,0.06789,1.568371864481425e-05,1.0073526319019835e-05,3.300490638525038e-05,0.16998056562737673,114716.17354946029,114417.38746127854,298.7860881817469,-1.0,1.0,-1.742648919352211e-07,6.0123189819962266e-05,3.860273606737668e-05,-1.0,0.809894938755123,98.0
98,2025-10-28 14:44:57.943,25702.516080000016,0.20129,-5.3935597337453885e-05,1.0857712251260547e-05,3.293922029434597e-05,-1.9670565569047194,114721.26178284502,114428.93541336777,292.32636947724677,1.0,0.0,1.568371864481425e-05,-1.742648919352211e-07,6.0123189819962266e-05,1.0,0.80992301720693,101.0
101,2025-10-28 14:44:58.494,25722.905039999998,0.2727,0.00013853630405195462,8.160932384380146e-06,3.594564481547434e-05,3.6270144184728954,114732.19278787755,114460.76736423778,271.42542363976827,1.0,-1.0,8.713579033933899e-08,-8.71357904934907e-08,-5.3935597337453885e-05,1.0,0.8100113403436363,114.0
103,2025-10-28 14:44:58.494,25710.427840000004,0.15247,-5.924475139513571e-06,1.4708757986321311e-05,4.634227588384152e-05,-0.44523563568889063,114740.65727080226,114481.28445442399,259.37281637826527,-1.0,1.0,-7.579792013131288e-06,0.00013853630405195462,8.713579033933899e-08,-1.0,0.8100223429254673,104.0
106,2025-10-28 14:44:58.494,25698.617440000016,0.27403,-8.64349646699201e-05,1.2482680617867902e-05,4.7637064991826175e-05,-2.0764848721975246,114749.79311094187,114509.33097019196,240.46214074990712,-1.0,-2.0,-3.197555847831896e-05,-6.621513751235703e-06,-5.924475139513571e-06,1.0,0.8100931906647348,112.0
112,2025-10-28 14:44:58.495,25723.59384,0.08015,0.00014454782238257317,7.2763676082882925e-06,4.523906930124078e-05,3.0343563063290206,114755.94063406912,114555.3915374555,200.54909661361307,0.0,-2.0,0.0,0.0,0.0,1.0,0.810182222234633,114.0
114,2025-10-28 14:44:58.496,25728.86504000002,0.054,0.0001435664129540348,1.1043907177939838e-05,5.370184743568568e-05,2.467745759991308,114760.4803829908,114569.9388395277,190.54154346309952,1.0,-1.0,1.6030538873778642e-05,0.00014454782238257317,0.0,1.0,0.8102756452644135,144.0
116,2025-10-28 14:44:58.496,25710.55656000001,0.36378,-4.5210742829333014e-05,1.328593153127463e-05,6.035389660232818e-05,-0.9692277889280828,114767.344712607,114584.66914818488,182.67556442211207,0.0,-1.0,0.0,0.0001435664129540348,1.6030538873778642e-05,1.0,0.8102831478475065,117.0
121,2025-10-28 14:44:58.496,25716.449680000005,0.15195,4.8174372070907555e-05,1.0956124707007292e-05,6.42776000216125e-05,0.5790236100004064,114778.27963389778,114617.00232869732,161.27730520046316,-1.0,0.0,-8.502228007010182e-05,0.0,0.0,-1.0,0.810301269482847,123.0
123,2025-10-28 14:44:58.496,25711.22384000002,0.06175,-1.0541070078243125e-05,4.9092175935666355e-06,5.846555544627793e-05,-0.2642630685575367,114780.73058466462,114628.28066277757,152.44992188704782,-1.0,-2.0,-3.81560023008973e-05,4.8174372070907555e-05,-8.502228007010182e-05,1.0,0.8103139414778047,125.0
124,2025-10-28 14:44:58.496,25711.115760000015,0.06119,-9.147299619199846e-06,4.678387846630158e-06,5.8519667923051245e-05,-0.23625709733713826,114781.47052898227,114633.53375580125,147.93677318101982,-1.0,-2.0,-1.0541070078243125e-05,-3.81560023008973e-05,4.8174372070907555e-05,1.0,0.8103271254879221,125.0
126,2025-10-28 14:44:58.497,25721.152000000002,0.101,4.067938404649881e-05,1.0672072264210375e-05,6.0879622256256346e-05,0.4928958373752217,114783.54381170658,114643.80149528195,139.74231642462837,1.0,-2.0,9.04239157412495e-05,-9.147299619199846e-06,-1.0541070078243125e-05,1.0,0.810386776229991,141.0
131,2025-10-28 14:44:58.497,25715.0,0.054,-6.6200868067736275e-06,1.702778970003132e-05,5.6700041293504724e-05,-0.4170698186513229,114791.00728743555,114668.16668939518,122.84059804037679,0.0,2.0,0.0,0.0,0.0,-1.0,0.8103917054381045,133.0
141,2025-10-28 14:44:58.499,25724.004480000018,0.07171,6.698236062538568e-05,6.071664993012159e-06,2.7276862975202265e-05,2.2330535575339736,114796.46821014077,114705.43275762585,91.03545251491596,1.0,-4.0,2.3257603702190632e-05,1.3153416088119391e-05,0.0,1.0,0.810452708573011,155.0
146,2025-10-28 14:44:58.499,25717.411200000002,0.32712,-1.90740639376204e-05,8.213766290746625e-06,2.5092645910998894e-05,-1.0874831643593015,114802.86892701757,114721.87067482683,80.99825219073682,1.0,2.0,1.1757941607965542e-05,6.610833433844058e-05,-3.6756424931411833e-05,-1.0,0.8104811897365624,147.0
153,2025-10-28 14:44:58.499,25714.104160000003,0.08106,-1.8291997774206734e-05,1.8989022692204236e-06,2.8149075949679174e-05,-0.7172846383316722,114805.39158580643,114739.83479088623,65.55679492019408,-1.0,0.0,-1.132350769216863e-06,-2.6653424735789078e-05,4.093780497693298e-06,1.0,0.8105662527260251,155.0
155,2025-10-28 14:44:58.500,25732.860400000005,0.07965,0.0001511176941881097,1.8205509895201788e-06,2.8254010420801948e-05,5.284104495523579,114804.93166094358,114743.9004050188,61.03125592478318,-1.0,0.0,-6.532937437346057e-06,-1.8291997774206734e-05,-1.132350769216863e-06,-1.0,0.8106115027306956,185.0
161,2025-10-28 14:44:58.501,25720.896400000012,0.17458,1.088656008453184e-05,7.555884709410163e-06,4.36581108685271e-05,0.07628996641043057,114811.66674073887,114757.66888260988,53.99785812899063,0.0,0.0,0.0,0.0,0.0,1.0,0.8106278990025642,164.0
164,2025-10-28 14:44:58.504,25726.3064,0.0772,5.861184083658271e-05,5.269401418310993e-06,4.036678912476893e-05,1.3214437159483876,114813.8866617782,114763.6250595492,50.261602229002165,0.0,-3.0,0.0,-1.0886560084415235e-05,1.088656008453184e-05,-1.0,0.8106570644837009,167.0
167,2025-10-28 14:44:58.507,25709.81392,0.06009,-9.876249900144788e-05,5.260382859700841e-06,3.9420100270545975e-05,-2.6388284340481967,114817.17889786595,114769.61654175966,47.562356106282095,0.0,-3.0,0.0,0.0,5.861184083658271e-05,1.0,0.8106570644837009,168.0
168,2025-10-28 14:44:58.507,25727.957920000015,0.05991,9.87624990014803e-05,2.5563462040484713e-06,4.454757790443174e-05,2.159627027294265,114816.99424092635,114771.1123928495,45.88184807683865,-1.0,-2.0,-9.876249900144788e-05,0.0,0.0,-1.0,0.810683023782057,170.0
183,2025-10-28 14:44:58.641,25720.905440000017,0.0746,6.967450336359983e-07,-1.1757562713406852e-07,6.507028813386651e-05,0.012514487561476252,114814.33463793062,114787.80532544557,26.529312485043192,1.0,2.0,4.7205606641281025e-05,4.4420594753857815e-05,-8.883921640588305e-05,-1.0,0.8108287013701911,186.0
186,2025-10-28 14:44:58.708,25713.797840000014,0.0893,-5.0602366311529125e-05,-3.00897576253439e-06,6.359123097815804e-05,-0.7484269321571952,114815.71681476795,114790.83729331831,24.87952144963492,1.0,4.0,8.709309494028958e-08,0.0,6.967450336359983e-07,-1.0,0.8108537479398925,198.0
189,2025-10-28 14:44:58.708,25717.95464000001,0.27468,-3.0484170942222965e-06,-5.539094078112467e-06,5.5938421494201546e-05,0.04452534549142693,114815.23521784833,114793.02838644828,22.20683140004985,0.0,5.0,0.0,0.0,-5.0602366311529125e-05,-1.0,0.8108590741291274,190.0
190,2025-10-28 14:44:58.708,25716.174640000012,0.27163,-1.73326052481661e-05,-5.691514932823582e-06,5.592668615075169e-05,-0.2081491065767213,114815.07091138657,114793.69991476144,21.370996625133557,-1.0,4.0,-3.0484170942222965e-06,0.0,0.0,1.0,0.8108598112618836,191.0
203,2025-10-28 14:44:58.976,25715.912880000018,0.06042,-9.145756310258724e-06,-5.099564538193227e-06,1.371261483858362e-05,-0.29507075656748194,114810.71182167316,114799.24673927153,11.465082401628024,0.0,-5.0,0.0,0.0,0.0,-1.0,0.8109016663437584,206.0
206,2025-10-28 14:44:59.003,25714.947679999997,0.05002,-1.5504425599296276e-05,-5.5960442601349776e-06,1.3668305771323002e-05,-0.7249165601245672,114809.70241063126,114799.96749377633,9.734916854926269,0.0,-8.0,0.0,0.0,-9.145756310258724e-06,-1.0,0.8109408974483102,207.0
218,2025-10-28 14:44:59.221,25710.67072000001,0.11529,-2.683114039734743e-05,-6.7595059357107355e-06,1.656636348966646e-05,-1.2115896351358624,114799.75976456092,114798.66664826208,1.0931162988417782,0.0,-6.0,0.0,0.0,0.0,-1.0,0.8110693973447186,223.0
231,2025-10-28 14:45:01.086,25690.52944,0.06323,-0.00013802728361206806,-1.278069287723382e-05,2.6327055126539706e-05,-4.757333847996749,114787.31715591588,114793.55641702673,-6.239261110851658,-1.0,-4.0,-4.870583839765792e-05,-0.00010001814797566905,0.0,-1.0,0.8114280999289593,243.0
239,2025-10-28 14:45:01.574,25696.266800000012,0.0503199999999999,-5.839117838200903e-05,-1.905573830809328e-05,3.8810992332022844e-05,-1.0135128560820192,114766.89879218652,114783.48725281071,-16.588460624188883,0.0,-6.0,0.0,-4.610047699992758e-05,0.0,-1.0,0.8115225121107974,244.0
